"hour","location","rate","null","resp_time","social"
"","","","43.70638456,-72.28701561","1364118660",""
"","","","43.70638441,-72.2870153","1364122186",""
"","","","3","1364122192",""
"","","","8","1364122190",""
"","","","8","1364122188",""
"","","","2","1364122188",""
"8","43.63766483,-72.2485018","1","","1365009967","1"
"6","43.63687425,-72.28544436","2","","1364405742","1"
"8","43.67698318,-72.26028412","1","","1364491492","1"
"8","43.70977927,-72.28303993","1","","1364577000","1"
"7","43.63753107,-72.24846418","3","","1364664139","1"
"9","43.63765489,-72.2487072","1","","1364744113","1"
"7","43.70850413,-72.28575574","2","","1364838766","1"
"8","43.63748657,-72.2482552","1","","1364916780","1"
"7","43.63745411,-72.24846941","3","","1365003202","1"
"7","43.70770892,-72.28875085","3","","1365105895","1"
"8","43.70291796,-72.29076097","2","","1365184166","1"
"5","37.07031926,-76.35966675","1","","1365433497","2"
"7","43.63744706,-72.2481714","2","","1365613228","1"
"6","43.63733001,-72.24831108","1","","1365616687","1"
"8","43.63760479,-72.24817944","1","","1365706548","1"
"7","43.70651514,-72.28830687","2","","1365788914","1"
"9","43.63769981,-72.24843196","1","","1365875565","1"
"8","43.63755737,-72.24817945","1","","1365958809","1"
"6","43.70661726,-72.28610243","2","","1366045771","1"
"6","43.6377843,-72.24839682","3","","1366131955","1"
"7","43.63730762,-72.24814653","1","","1367341731","1"
"8","43.6376426,-72.24851725","3","","1367602257","1"
"11","43.63767795,-72.24819483","1","","1368726355","1"
"11","43.63764029,-72.2483575","1","","1370020021","1"
"11","43.6944467,-72.27895006","1","","1369503244","3"
"11","43.7072019,-72.28658185","1","","1370283386","1"
